Life Satisfaction,wea,web,wec,wed,wee,wef,weg,weh,wei,wej,income,OldChild,SmallChild,job,gender,employ,children_,state,confirmed_x,deaths_x,school_closing_x,workplace_closing_x,cancel_events_x,gatherings_restrictions_x,transport_closing_x,stay_home_restrictions_x,internal_movement_restrictions_x,testing_policy_x,contact_tracing_x,demo_age,demo_marital_status_2017,No. Children
7,No,No,No,No,Yes,Yes,No,No,No,No,Middle-Income,0,1,College or University,Male,Employed part-time (i.e. worked less than 35-hours for pay),Yes,NY,362764,23488,3,3,2,4,1,2,1,3,2,38,Married,2
7,No,Yes,No,Yes,No,No,Yes,No,No,Yes,High-Income,,,College or University,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,52,Married,0
4,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,High-Income,,1,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NY,362764,23488,3,3,2,4,1,2,1,3,2,67,Married,2
4,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Middle-Income,,,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,63,Married,0
5,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Retail,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,58,Divorced,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,69,Single/Never been married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Transportation,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,57,Married,0
6,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Middle-Income,1,1,K-12 Education,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,NY,362764,23488,3,3,2,4,1,2,1,3,2,49,Married,1
4,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Middle-Income,,,Retail,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,68,Married,0
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Arts/Design/Entertainment/Sports/Media,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,362764,23488,3,3,2,4,1,2,1,3,2,55,Married,0
8,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,32477,1987,3,2,2,4,0,1,1,2,1,70,Married,0
6,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,32477,1987,3,2,2,4,0,1,1,2,1,60,Married,0
7,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,32477,1987,3,2,2,4,0,1,1,2,1,69,Married,0
5,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,High-Income,1,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OH,32477,1987,3,2,2,4,0,1,1,2,1,56,Married,1
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,32477,1987,3,2,2,4,0,1,1,2,1,60,Married,0
7,No,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,1,Real Estate,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,OH,32477,1987,3,2,2,4,0,1,1,2,1,44,Married,3
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Manufacturing,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,OK,6090,313,3,1,1,3,1,1,1,3,1,62,Married,0
7,Yes,No,No,Yes,No,Yes,No,Yes,No,No,High-Income,1,1,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OK,6090,313,3,1,1,3,1,1,1,3,1,42,Married,3
9,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Middle-Income,1,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OK,6090,313,3,1,1,3,1,1,1,3,1,45,Married,1
8,Yes,No,No,No,No,Yes,Yes,No,No,No,High-Income,1,1,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,OR,3949,148,3,2,2,4,0,2,1,1,1,50,Married,2
8,Yes,No,No,No,No,No,No,No,No,No,High-Income,1,0,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OR,3949,148,3,2,2,4,0,2,1,1,1,51,Married,1
7,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,OR,3949,148,3,2,2,4,0,2,1,1,1,66,Married,0
8,No,No,No,No,No,Yes,No,No,No,No,High-Income,,,Law,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,PA,68186,5139,3,2,2,4,1,2,1,1,1,65,Married,0
6,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Low-Income,1,0,Retail,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,PA,68186,5139,3,2,2,4,1,2,1,1,1,54,Married,1
8,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Middle-Income,,,Utilities,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,PA,68186,5139,3,2,2,4,1,2,1,1,1,51,Divorced,0
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,1,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,PA,68186,5139,3,2,2,4,1,2,1,1,1,39,Married,1
7,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Middle-Income,,,Law,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,PA,68186,5139,3,2,2,4,1,2,1,1,1,67,Single/Never been married,0
5,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,High-Income,1,1,Finance,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,PA,68186,5139,3,2,2,4,1,2,1,1,1,38,Married,2
7,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Middle-Income,,1,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,PA,68186,5139,3,2,2,4,1,2,1,1,1,56,Married,0
5,No,Yes,No,Yes,No,Yes,No,No,No,No,Middle-Income,,,College or University,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,RI,14211,608,3,3,2,4,0,1,2,3,1,65,Married,0
7,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Middle-Income,,,Health Care,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,SC,10178,440,3,1,2,4,1,1,1,2,2,63,Married,0
7,Yes,Yes,No,Yes,No,Yes,No,No,No,No,High-Income,,,College or University,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,SC,10178,440,3,1,2,4,1,1,1,2,2,56,Married,0
6,Yes,No,No,No,No,Yes,No,No,No,Yes,Middle-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,SC,10178,440,3,1,2,4,1,1,1,2,2,53,Married,0
7,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,TN,20607,338,3,2,2,3,1,1,1,3,1,69,Married,0
7,No,No,No,No,No,Yes,No,No,No,No,Middle-Income,,1,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,TN,20607,338,3,2,2,3,1,1,1,3,1,40,Married,2
8,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Middle-Income,1,,College or University,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,TN,20607,338,3,2,2,3,1,1,1,3,1,54,Divorced,1
6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Middle-Income,,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,TX,55971,1527,3,2,2,4,0,1,1,2,1,31,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,TX,55971,1527,3,2,2,4,0,1,1,2,1,50,Married,0
7,No,No,No,No,No,No,No,No,No,No,Middle-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,TX,55971,1527,3,2,2,4,0,1,1,2,1,54,Single/Never been married,0
5,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Middle-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,UT,8521,98,3,1,1,3,0,1,1,2,2,65,Widowed,0
5,No,Yes,Yes,No,No,No,No,No,No,No,Middle-Income,,,College or University,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,UT,8521,98,3,1,1,3,0,1,1,2,2,76,Married,0
7,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Middle-Income,,,Arts/Design/Entertainment/Sports/Media,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,VA,37727,1208,3,2,2,4,0,1,2,2,1,35,Married,0
7,Yes,No,Yes,No,No,Yes,No,No,No,No,Middle-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,49,Single/Never been married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,47,Married,0
7,Yes,No,No,No,Yes,No,No,No,No,Yes,High-Income,,,Health Care,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,63,Married,0
8,No,Yes,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Warehousing/Logistics,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,57,Married,0
8,No,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Utilities,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,51,Single/Never been married,0
7,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Middle-Income,,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,44,Single/Never been married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Retail,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,53,Married,0
7,No,No,No,No,Yes,No,Yes,No,No,No,Middle-Income,,,"Agriculture, Forestry, Fishing, and Hunting",Male,Employed full-time (i.e. worked at least 35-hours for pay),No,WA,21063,1061,3,2,2,4,1,2,1,1,1,52,Married,0
7,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Middle-Income,1,1,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,WA,21063,1061,3,2,2,4,1,2,1,1,1,44,Married,1
8,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Law,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,WI,17571,514,3,2,2,4,1,1,1,3,2,51,Single/Never been married,0
9,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,WI,17571,514,3,2,2,4,1,1,1,3,2,65,Married,0
2,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Low-Income,,,Arts/Design/Entertainment/Sports/Media,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,WI,17571,514,3,2,2,4,1,1,1,3,2,66,Single/Never been married,0
7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,WY,843,12,3,1,2,3,2,1,1,2,1,55,Married,0
6,No,No,No,No,No,No,No,No,No,No,Low-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,WY,843,12,3,1,2,3,2,1,1,2,1,60,Divorced,0
8,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Arts/Design/Entertainment/Sports/Media,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AK,413,10,3,1,1,3,2,1,2,2,2,64,Married,0
5,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Middle-Income,1,1,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,AK,413,10,3,1,1,3,2,1,2,2,2,76,Widowed,3
9,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Middle-Income,1,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,15396,575,3,2,2,0,1,1,1,2,2,48,Widowed,0
7,Yes,No,No,No,No,No,No,No,No,No,Middle-Income,,,Professional Services,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,15396,575,3,2,2,0,1,1,1,2,2,59,Divorced,0
6,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Middle-Income,,,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,15396,575,3,2,2,0,1,1,1,2,2,51,Single/Never been married,0
6,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,High-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,15396,575,3,2,2,0,1,1,1,2,2,61,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Warehousing/Logistics,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,15396,575,3,2,2,0,1,1,1,2,2,62,Married,0
8,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,1,1,Professional Services,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,AR,6180,119,3,2,1,3,1,1,2,3,1,59,Married,2
6,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Middle-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,AZ,16783,807,3,1,2,0,0,1,1,2,2,67,Widowed,0
8,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AZ,16783,807,3,1,2,0,0,1,1,2,2,52,Domestic partnership/Living with partner (not legally married),0
5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Middle-Income,,1,Arts/Design/Entertainment/Sports/Media,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,AZ,16783,807,3,1,2,0,0,1,1,2,2,43,Married,1
10 - Best possible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Middle-Income,1,1,Arts/Design/Entertainment/Sports/Media,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,AZ,16783,807,3,1,2,0,0,1,1,2,2,57,Married,1
6,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,38,Single/Never been married,0
7,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Middle-Income,,,Manufacturing,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,32,Married,0
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,54,Married,0
7,Yes,No,No,Yes,No,Yes,No,No,No,No,Middle-Income,1,,Training or Library,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,56,Domestic partnership/Living with partner (not legally married),1
8,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,1,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CA,96733,3814,3,2,2,4,0,1,1,2,2,48,Married,2
7,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,53,Married,0
6,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Middle-Income,,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,61,Single/Never been married,0
3,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Low-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,60,Domestic partnership/Living with partner (not legally married),0
7,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,49,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Retail,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,60,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CA,96733,3814,3,2,2,4,0,1,1,2,2,49,Married,1
7,Yes,No,No,Yes,No,Yes,No,No,No,Yes,High-Income,,,Professional Services,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,46,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,48,Single/Never been married,0
9,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Middle-Income,,1,Construction,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CA,96733,3814,3,2,2,4,0,1,1,2,2,43,Domestic partnership/Living with partner (not legally married),1
6,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,58,Married,0
4,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Middle-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,65,Domestic partnership/Living with partner (not legally married),0
5,Yes,No,No,No,No,Yes,Yes,Yes,No,No,High-Income,,,Professional Services,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,CA,96733,3814,3,2,2,4,0,1,1,2,2,65,Married,0
7,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Middle-Income,1,1,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,24565,1352,3,2,2,4,1,1,1,2,1,37,Married,3
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CO,24565,1352,3,2,2,4,1,1,1,2,1,40,Separated,0
7,No,Yes,No,Yes,No,No,No,No,No,No,Middle-Income,,1,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,24565,1352,3,2,2,4,1,1,1,2,1,40,Married,4
7,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,High-Income,1,,Utilities,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,24565,1352,3,2,2,4,1,1,1,2,1,49,Married,1
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,1,Transportation,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,24565,1352,3,2,2,4,1,1,1,2,1,47,Married,4
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CT,41303,3769,3,2,2,4,1,1,1,3,2,62,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,Yes,High-Income,,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CT,41303,3769,3,2,2,4,1,1,1,3,2,59,Married,0
6,No,No,No,No,No,No,Yes,No,No,No,Middle-Income,,,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CT,41303,3769,3,2,2,4,1,1,1,3,2,59,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CT,41303,3769,3,2,2,4,1,1,1,3,2,61,Married,0
7,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Middle-Income,,1,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CT,41303,3769,3,2,2,4,1,1,1,3,2,70,Married,1
8,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,1,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,65,Married,1
5,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Utilities,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,57,Married,0
8,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,69,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Retail,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,59,Married,0
8,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Middle-Income,,1,College or University,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,58,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Retail,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,78,Married,0
9,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Middle-Income,,,Construction,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,50578,2338,3,2,2,4,1,2,2,1,1,53,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,0,Utilities,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,GA,43730,1871,3,2,2,4,1,2,1,3,2,51,Married,1
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,GA,43730,1871,3,2,2,4,1,2,1,3,2,61,Married,0
8,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Community/Social Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,GA,43730,1871,3,2,2,4,1,2,1,3,2,64,Single/Never been married,0
5,No,Yes,No,Yes,No,No,No,No,Yes,No,High-Income,,1,College or University,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,GA,43730,1871,3,2,2,4,1,2,1,3,2,48,Married,1
7,Yes,No,No,Yes,No,Yes,No,No,No,No,Middle-Income,1,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IA,17703,478,3,2,2,4,1,1,1,2,2,48,Married,1
7,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,IA,17703,478,3,2,2,4,1,1,1,2,2,61,Married,0
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Real Estate,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,ID,2626,79,3,2,2,4,0,1,1,2,1,49,Married,3
4,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Low-Income,,1,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,ID,2626,79,3,2,2,4,0,1,1,2,1,40,Domestic partnership/Living with partner (not legally married),2
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,IL,113195,4923,3,3,2,4,0,2,2,2,1,63,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,1,Transportation,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,IL,113195,4923,3,3,2,4,0,2,2,2,1,57,Domestic partnership/Living with partner (not legally married),1
7,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Middle-Income,,1,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IL,113195,4923,3,3,2,4,0,2,2,2,1,55,Married,1
7,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,1,1,Technological/Information Systems/Computer/Software/Mathematical,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,IL,113195,4923,3,3,2,4,0,2,2,2,1,51,Married,2
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,IN,32078,2004,3,2,2,3,1,1,1,2,2,70,Married,0
6,Yes,No,No,No,No,Yes,No,No,No,Yes,Middle-Income,1,,College or University,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IN,32078,2004,3,2,2,3,1,1,1,2,2,48,Married,2
7,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Middle-Income,,,Arts/Design/Entertainment/Sports/Media,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,IN,32078,2004,3,2,2,3,1,1,1,2,2,50,Single/Never been married,0
6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Low-Income,,,Insurance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,IN,32078,2004,3,2,2,3,1,1,1,2,2,50,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,1,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,KS,9218,188,3,2,2,3,1,1,1,2,1,57,Divorced,1
8,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Middle-Income,,1,Law,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,KY,8571,391,3,2,2,4,2,1,1,3,2,65,Married,1
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Training or Library,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,8571,391,3,2,2,4,2,1,1,3,2,70,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,8571,391,3,2,2,4,2,1,1,3,2,60,Married,0
7,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Middle-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,8571,391,3,2,2,4,2,1,1,3,2,50,Married,0
6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low-Income,,,Warehousing/Logistics,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,8571,391,3,2,2,4,2,1,1,3,2,39,Single/Never been married,0
